project_name,location_identifier,indigo_name,original_language_name,english_translated_name,alternative_name,countries_iso,project_url,is_sib,is_dib,variant_name,naming_error_assumed,is_historic,is_active,is_proof_of_concept,stage_of_development,contract_signature_date,expected_completion_date,completion_date_actual,service_provision_started,service_provision_end_expected,service_provision_end_actual,notes_about_dates,project_finance_currency_iso,staticfx_210525,fx_pair,total_investment_committed_exact_usd,total_investment_committed_exact,total_investment_committed_usd,investment_commitment_max_value,investment_commitment_min_value,project_finance_notes,social_challenge_category,intervention_description,intervention_policy_sector,target_population_description,target_pop_unique_value,target_pop_type,beneficiaries_actual_value,beneficiaries_actual_type,beneficiaries_notes,value_notes
Youth Social Mobility SIB  ,,Youth Social Mobility SIB in Nuevo Leon,,,,MX,,False,False,,False,False,False,False,Implementation,2024-07,,,2024-09,2026-11,,,USD,1,USDUSD,937640,937640,937640,,,,,"The SIB operates on a pay-for-results model, fostering collaboration between the public, private, and social sectors to address social issues with maximum efficiency and transparency.
CRS and YouthBuild Mexico will implement a comprehensive program over 28 months, focusing on training, labor inclusion, and support for youth. When achieving the agreed-upon results, the State Government will repay CRS. 
The program provides intensive training to 500 youth, with the goal to ensure that at least 60% of participants secure formal employment. Each milestone will have clearly defined objectives and verification methods, validated by an independent agency and aiming for job retention for nine months.",Employment and training,Individuals between 18 and 24 years old,,Individual,,,,
Anima Social Impact Bond,,Anima Social Impact Bond - Uruguay,,,,UY,,True,False,,False,False,False,False,Implementation,,,,2023,2027,,,USD,1,USDUSD,600000,600000,600000,,,,High school drop out and youth unemployment rates,"ANIMA's programme links the world of education with the professional world, and the opportunity to learn while working through paid internships at local supporting companies. This dual education approach tries to respond to the two realities of a large number of the population not finishing high school and the high youth unemployment rates, by connecting the student to the labor market early on and dialoguing with the business sector to align education with market demands.",Employment and training,Uruguayan youth in situation of social and economic vulnerability,,Individual,,,,
Duo For A Job,,Duo for a job - France,,,,FR,,False,False,,False,False,False,False,Implementation,2023-07,2029-04,,,,,,EUR,1.13,EURUSD,3164000,2800000,3164000,,,,1) Difficulty accessing the job market for young refugees or immigrants. 2) Inactivity and undervaluation of people over 50 in the labor market.,Mentoring by a volunteer aged over 50 years old. ,Employment and training,"Young refugees or with immigrant background between 18 and 33 years old, registered with 'Pôle Emploi' (French governmental agency which registers unemployed people) or in a Local Mission in a regular residence situation.",,,,,,
Messidor,,Messidor,,,,FR,,False,False,,False,False,False,False,Implementation,2023-11,2029-01,,2023-02,,,,EUR,1.13,EURUSD,2825000,2500000,2825000,,,,Difficulty maintaining employment for people with mental disorders without RQTH (French recognition of the status of disabled worker); stigmatization and self-stigma of people suffering from mental disorders without RQTH in the professional world.,"Placement and individualized support in employment, directly in an ordinary environment",Employment and training,"People suffering from mental disorders, not benefiting from recognition as a disabled worker, being employed or looking for employment.",,,,,,
Télémaque,,Télémaque,,,,FR,,False,False,,False,False,False,False,Implementation,2023-11,2029-09,,2022-09,,,,EUR,1.13,EURUSD,3503000,3100000,3503000,,,,"Facilitating the social and professional mobility of young individuals from disadvantaged backgrounds through socio-cultural exposure, higher education continuation, and professional integration.
","Long-term mentoring (5 years) from second grade to BAC + 2, focused on social and cultural openness, discovery of the professional world, self-confidence, and academic success, with the aim of removing all obstacles to chosen professional integration.",Employment and training,"Young people in second grade, or CAP 1 (Certificate of Professional Aptitude), invested and motivated in their studies, residents of a QPV (Priority Urban Neighbourhoods) or scholarship holders.",,,,,,
Vers l'entreprise,,Vers l'entreprise,,Towards the Enterprise,,FR,,False,False,,False,False,False,False,Implementation,2023-11,2029-12,,2023-09,,,,EUR,1.13,EURUSD,2938000,2600000,2938000,,,,Recidivism due to lack of professional opportunities and discrimination faced by ex-prisoners in the labor market.,"1. Employment training in prison
2. Individualized support both inside prison and post-release
3. Facilitation between ex-prisoners and employers",Employment and training,"Voluntary ex-prisoners, legally residing in the country, and capable of functioning in a group setting.",,,,,,
Woork: Twoo – Growing with Mentorship.,,Woork: Twoo – Growing with Mentorship,,,,FR,,False,False,,False,False,False,False,Implementation,2024-02,2028-03,,,,,,EUR,1.13,EURUSD,2712000,2400000,2712000,,,,Difficulty accessing and sustaining participation in the labor market for vulnerable populations.,"Support vulnerable young people newly employed in staying employed and reaching professional fulfillment. 
",Employment and training,young people newly employed,,,,,,
Article 1,,Article 1,,,,FR,,False,False,,False,False,False,False,Implementation,2023-11,2027-12,,2023-01,,,,EUR,1.13,EURUSD,3164000,2800000,3164000,,,,"Imbalance in overseas territories between unfilled jobs and career choices made by young people, which often do not promote rapid and quality professional integration.","Pre-Baccalaureate:
Orientation workshops and promotion of local professional opportunities.
Post-Baccalaureate:
Support for overseas students and assistance with professional integration through mobility to mainland France.",Employment and training,"Pre-Baccalaureate (Pre-Bac): Entire classes of Première and Terminale (general, technical, professional) in targeted territories of the action program.
Post-Baccalaureate (Post-Bac):
Overseas students and mainland scholarship holders or apprentices in all fields of study, including new arrivals, with a particular focus on overseas students.",,,,,,
Programme d'Orientation Vers l'Emploi,,Programme d'Orientation Vers l'Emploi,,,,FR,,False,False,,False,False,False,False,Implementation,2023-04,2028-12,,2022-09,,,,EUR,1.13,EURUSD,45200000,40000000,45200000,,,,"Difficulty to access to the job market for disabled people and discrimination against them, particularly in the professional world","Support program aimed at removing the main peripheral obstacles to employment and fostering the discovery of aspirations and skills through peer support, engaging activities, and the inclusion of both disabled and able-bodied individuals.",Employment and training,"Physically disabled people following an accident (paraplegics, quadriplegics, traumatic amputees)",,,,,,
"Ambition : agir en prévention des discriminations à l'insertion professionnelle des étudiants boursiers ou issus des QPV, en systématisant des actions d'accompagnement et de mise en relation avec les employeurs",,"Ambition : agir en prévention des discriminations à l'insertion professionnelle des étudiants boursiers ou issus des QPV, en systématisant des actions d'accompagnement et de mise en relation avec les employeurs","Ambition : agir en prévention des discriminations à l'insertion professionnelle des étudiants boursiers ou issus des QPV, en systématisant des actions d'accompagnement et de mise en relation avec les employeurs","Ambition: acting to prevent discrimination in the professional integration of scholarship students or those from priority neighborhoods, by systematizing support actions and connections with employers",,FR,,False,False,,False,False,False,False,Implementation,2023-12,2027-12,,2023-09,,,,EUR,1.13,EURUSD,3842000,3400000,3842000,,,,"Difficulty of access to employment for young people from disadvantaged social backgrounds and territories, and discrimination against them in the professional world",Support programme for professional integration and prevention of discrimination by improving student employability,Employment and training,Students in ther final year of study (Profesionnal Licence3 or Master2),,,,,,
